0.025000 -0.012500 0.000000,0.475000 -0.237500 0.000000,0.925000 -0.462500 0.000000,1.375000 -0.687500 0.000000,1.825000 -0.912500 0.000000,2.275000 -1.137500 0.000000,2.725000 -1.362500 0.000000,3.175000 -1.587500 0.000000,3.625000 -1.812500 0.000000,4.475000 -2.237500 0.000000,
0.025000 0.000000 0.000000,0.525000 0.000000 0.000000,1.025000 0.000000 0.000000,1.525000 0.000000 0.000000,2.025000 0.000000 0.000000,2.525000 0.000000 0.000000,3.025000 0.000000 0.000000,3.525000 0.000000 0.000000,4.025000 0.000000 0.000000,5.000000 0.000000 0.000000,
0.025000 0.012500 0.000000,0.475000 0.237500 0.000000,0.925000 0.462500 0.000000,1.375000 0.687500 0.000000,1.825000 0.912500 0.000000,2.275000 1.137500 0.000000,2.725000 1.362500 0.000000,3.175000 1.587500 0.000000,3.625000 1.812500 0.000000,4.475000 2.237500 0.000000,
0.025000 0.025000 0.000000,0.400000 0.400000 0.000000,0.775000 0.775000 0.000000,1.150000 1.150000 0.000000,1.525000 1.525000 0.000000,1.900000 1.900000 0.000000,2.275000 2.275000 0.000000,2.650000 2.650000 0.000000,3.025000 3.025000 0.000000,3.550000 3.550000 0.000000,
0.025000 0.037500 0.000000,0.325000 0.487500 0.000000,0.625000 0.937500 0.000000,0.925000 1.387500 0.000000,1.225000 1.837500 0.000000,1.525000 2.287500 0.000000,1.825000 2.737500 0.000000,2.125000 3.187500 0.000000,2.425000 3.637500 0.000000,2.775000 4.162500 0.000000,
0.025000 0.050000 0.000000,0.250000 0.500000 0.000000,0.475000 0.950000 0.000000,0.700000 1.400000 0.000000,0.925000 1.850000 0.000000,1.150000 2.300000 0.000000,1.375000 2.750000 0.000000,1.600000 3.200000 0.000000,1.825000 3.650000 0.000000,2.250000 4.500000 0.000000,
0.037500 -0.050000 0.000000,0.337500 -0.450000 0.000000,0.637500 -0.850000 0.000000,0.937500 -1.250000 0.000000,1.237500 -1.650000 0.000000,1.537500 -2.050000 0.000000,1.837500 -2.450000 0.000000,2.137500 -2.850000 0.000000,2.437500 -3.250000 0.000000,3.000000 -4.000000 0.000000,
0.037500 -0.037500 0.000000,0.412500 -0.412500 0.000000,0.787500 -0.787500 0.000000,1.162500 -1.162500 0.000000,1.537500 -1.537500 0.000000,1.912500 -1.912500 0.000000,2.287500 -2.287500 0.000000,2.662500 -2.662500 0.000000,3.037500 -3.037500 0.000000,3.562500 -3.562500 0.000000,
0.037500 -0.025000 0.000000,0.487500 -0.325000 0.000000,0.937500 -0.625000 0.000000,1.387500 -0.925000 0.000000,1.837500 -1.225000 0.000000,2.287500 -1.525000 0.000000,2.737500 -1.825000 0.000000,3.187500 -2.125000 0.000000,3.637500 -2.425000 0.000000,4.162500 -2.775000 0.000000,
0.037500 -0.012500 0.000000,0.525000 -0.175000 0.000000,1.012500 -0.337500 0.000000,1.500000 -0.500000 0.000000,1.987500 -0.662500 0.000000,2.475000 -0.825000 0.000000,2.962500 -0.987500 0.000000,3.450000 -1.150000 0.000000,3.937500 -1.312500 0.000000,4.762500 -1.587500 0.000000,
0.037500 0.000000 0.000000,0.562500 0.000000 0.000000,1.087500 0.000000 0.000000,1.612500 0.000000 0.000000,2.137500 0.000000 0.000000,2.662500 0.000000 0.000000,3.187500 0.000000 0.000000,3.712500 0.000000 0.000000,4.237500 0.000000 0.000000,5.025000 0.000000 0.000000,
0.037500 0.012500 0.000000,0.525000 0.175000 0.000000,1.012500 0.337500 0.000000,1.500000 0.500000 0.000000,1.987500 0.662500 0.000000,2.475000 0.825000 0.000000,2.962500 0.987500 0.000000,3.450000 1.150000 0.000000,3.937500 1.312500 0.000000,4.762500 1.587500 0.000000,
0.037500 0.025000 0.000000,0.487500 0.325000 0.000000,0.937500 0.625000 0.000000,1.387500 0.925000 0.000000,1.837500 1.225000 0.000000,2.287500 1.525000 0.000000,2.737500 1.825000 0.000000,3.187500 2.125000 0.000000,3.637500 2.425000 0.000000,4.162500 2.775000 0.000000,
0.037500 0.037500 0.000000,0.412500 0.412500 0.000000,0.787500 0.787500 0.000000,1.162500 1.162500 0.000000,1.537500 1.537500 0.000000,1.912500 1.912500 0.000000,2.287500 2.287500 0.000000,2.662500 2.662500 0.000000,3.037500 3.037500 0.000000,3.562500 3.562500 0.000000,
0.037500 0.050000 0.000000,0.337500 0.450000 0.000000,0.637500 0.850000 0.000000,0.937500 1.250000 0.000000,1.237500 1.650000 0.000000,1.537500 2.050000 0.000000,1.837500 2.450000 0.000000,2.137500 2.850000 0.000000,2.437500 3.250000 0.000000,3.000000 4.000000 0.000000,
0.050000 -0.050000 0.000000,0.450000 -0.450000 0.000000,0.850000 -0.850000 0.000000,1.250000 -1.250000 0.000000,1.650000 -1.650000 0.000000,2.050000 -2.050000 0.000000,2.450000 -2.450000 0.000000,2.850000 -2.850000 0.000000,3.250000 -3.250000 0.000000,3.550000 -3.550000 0.000000,
0.050000 -0.037500 0.000000,0.450000 -0.337500 0.000000,0.850000 -0.637500 0.000000,1.250000 -0.937500 0.000000,1.650000 -1.237500 0.000000,2.050000 -1.537500 0.000000,2.450000 -1.837500 0.000000,2.850000 -2.137500 0.000000,3.250000 -2.437500 0.000000,4.000000 -3.000000 0.000000,
0.050000 -0.025000 0.000000,0.500000 -0.250000 0.000000,0.950000 -0.475000 0.000000,1.400000 -0.700000 0.000000,1.850000 -0.925000 0.000000,2.300000 -1.150000 0.000000,2.750000 -1.375000 0.000000,3.200000 -1.600000 0.000000,3.650000 -1.825000 0.000000,4.500000 -2.250000 0.000000,
0.050000 -0.012500 0.000000,0.550000 -0.137500 0.000000,1.050000 -0.262500 0.000000,1.550000 -0.387500 0.000000,2.050000 -0.512500 0.000000,2.550000 -0.637500 0.000000,3.050000 -0.762500 0.000000,3.550000 -0.887500 0.000000,4.050000 -1.012500 0.000000,4.900000 -1.225000 0.000000,
0.050000 0.000000 0.000000,0.600000 0.000000 0.000000,1.150000 0.000000 0.000000,1.700000 0.000000 0.000000,2.250000 0.000000 0.000000,2.800000 0.000000 0.000000,3.350000 0.000000 0.000000,3.900000 0.000000 0.000000,4.450000 0.000000 0.000000,5.050000 0.000000 0.000000,
0.050000 0.012500 0.000000,0.550000 0.137500 0.000000,1.050000 0.262500 0.000000,1.550000 0.387500 0.000000,2.050000 0.512500 0.000000,2.550000 0.637500 0.000000,3.050000 0.762500 0.000000,3.550000 0.887500 0.000000,4.050000 1.012500 0.000000,4.900000 1.225000 0.000000,
0.050000 0.025000 0.000000,0.500000 0.250000 0.000000,0.950000 0.475000 0.000000,1.400000 0.700000 0.000000,1.850000 0.925000 0.000000,2.300000 1.150000 0.000000,2.750000 1.375000 0.000000,3.200000 1.600000 0.000000,3.650000 1.825000 0.000000,4.500000 2.250000 0.000000,
0.050000 0.037500 0.000000,0.450000 0.337500 0.000000,0.850000 0.637500 0.000000,1.250000 0.937500 0.000000,1.650000 1.237500 0.000000,2.050000 1.537500 0.000000,2.450000 1.837500 0.000000,2.850000 2.137500 0.000000,3.250000 2.437500 0.000000,4.000000 3.000000 0.000000,
0.050000 0.050000 0.000000,0.450000 0.450000 0.000000,0.850000 0.850000 0.000000,1.250000 1.250000 0.000000,1.650000 1.650000 0.000000,2.050000 2.050000 0.000000,2.450000 2.450000 0.000000,2.850000 2.850000 0.000000,3.250000 3.250000 0.000000,3.550000 3.550000 0.000000,
